step,time,well_id,qgi_opt,qgi_meas,qo_meas,qo_pred,Pwh_pred,solve_time,status
1,2020-01-01T00:00:00.0,ND-001,97.59,122.59,271.6,260.67034912109375,140.7901153564453,0.15600013732910156,optimal
1,2020-01-02T00:00:00.0,ND-001,145.98000000000002,120.98,297.8,284.92822265625,144.6222686767578,0.15600013732910156,optimal
1,2020-01-03T00:00:00.0,ND-001,145.82,120.82,275.6,268.724365234375,144.89369201660156,0.15600013732910156,optimal
1,2020-01-04T00:00:00.0,ND-001,147.20999999999998,122.21,279.1,268.4070739746094,145.14939880371094,0.15600013732910156,optimal
1,2020-01-05T00:00:00.0,ND-001,146.43,121.43,274.6,274.7534484863281,144.31715393066406,0.15600013732910156,optimal
1,2020-01-06T00:00:00.0,ND-001,143.84,118.84,273.8,264.69342041015625,144.6531219482422,0.15600013732910156,optimal
1,2020-01-07T00:00:00.0,ND-001,94.79,119.79,288.3,252.61846923828125,140.4774932861328,0.15600013732910156,optimal
1,2020-01-08T00:00:00.0,ND-001,95.07,120.07,259.5,252.42971801757812,140.4012908935547,0.15600013732910156,optimal
2,2020-01-02T00:00:00.0,ND-001,95.98,120.98,297.8,255.1243133544922,139.87623596191406,0.5210001468658447,time_limit
2,2020-01-03T00:00:00.0,ND-001,145.82,120.82,275.6,268.724365234375,144.89369201660156,0.5210001468658447,time_limit
2,2020-01-04T00:00:00.0,ND-001,120.82,122.21,279.1,266.3307189941406,143.3372802734375,0.5210001468658447,time_limit
2,2020-01-05T00:00:00.0,ND-001,122.20999999999998,121.43,274.6,272.5070495605469,143.01187133789062,0.5210001468658447,time_limit
2,2020-01-06T00:00:00.0,ND-001,143.84,118.84,273.8,264.69342041015625,144.6531219482422,0.5210001468658447,time_limit
2,2020-01-07T00:00:00.0,ND-001,144.79000000000002,119.79,288.3,275.43701171875,144.64248657226562,0.5210001468658447,time_limit
2,2020-01-08T00:00:00.0,ND-001,95.07,120.07,259.5,252.42971801757812,140.4012908935547,0.5210001468658447,time_limit
2,2020-01-09T00:00:00.0,ND-001,94.25,119.25,286.4,251.26776123046875,139.26913452148438,0.5210001468658447,time_limit
3,2020-01-03T00:00:00.0,ND-001,110.82727118707456,120.82,275.6,260.584228515625,142.37745666503906,0.3399999141693115,optimal
3,2020-01-04T00:00:00.0,ND-001,122.13934285089513,122.21,279.1,266.8257141113281,143.4571075439453,0.3399999141693115,optimal
3,2020-01-05T00:00:00.0,ND-001,118.98083127895187,121.43,274.6,271.119140625,142.75775146484375,0.3399999141693115,optimal
3,2020-01-06T00:00:00.0,ND-001,121.9383752417548,118.84,273.8,265.29638671875,143.69859313964844,0.3399999141693115,optimal
3,2020-01-07T00:00:00.0,ND-001,119.38371128716989,119.79,288.3,272.33331298828125,143.31455993652344,0.3399999141693115,optimal
3,2020-01-08T00:00:00.0,ND-001,145.07,120.07,259.5,270.6460876464844,144.43490600585938,0.3399999141693115,optimal
3,2020-01-09T00:00:00.0,ND-001,115.65449656423957,119.25,286.4,275.7057189941406,142.23593139648438,0.3399999141693115,optimal
3,2020-01-10T00:00:00.0,ND-001,94.81,119.81,272.0,252.3734893798828,140.67803955078125,0.3399999141693115,optimal
4,2020-01-04T00:00:00.0,ND-001,147.20999999999998,122.21,279.1,268.4070739746094,145.14939880371094,0.3020000457763672,optimal
4,2020-01-05T00:00:00.0,ND-001,96.43,121.43,274.6,251.75094604492188,140.05670166015625,0.3020000457763672,optimal
4,2020-01-06T00:00:00.0,ND-001,143.84,118.84,273.8,264.69342041015625,144.6531219482422,0.3020000457763672,optimal
4,2020-01-07T00:00:00.0,ND-001,144.79000000000002,119.79,288.3,275.43701171875,144.64248657226562,0.3020000457763672,optimal
4,2020-01-08T00:00:00.0,ND-001,95.07,120.07,259.5,252.42971801757812,140.4012908935547,0.3020000457763672,optimal
4,2020-01-09T00:00:00.0,ND-001,144.25,119.25,286.4,286.38323974609375,144.13172912597656,0.3020000457763672,optimal
4,2020-01-10T00:00:00.0,ND-001,94.81,119.81,272.0,252.3734893798828,140.67803955078125,0.3020000457763672,optimal
4,2020-01-11T00:00:00.0,ND-001,147.31,122.31,263.9,275.2335205078125,143.96229553222656,0.3020000457763672,optimal
5,2020-01-05T00:00:00.0,ND-001,146.43,121.43,274.6,274.7534484863281,144.31715393066406,0.42999982833862305,optimal
5,2020-01-06T00:00:00.0,ND-001,127.5487962288922,118.84,273.8,265.89117431640625,144.00900268554688,0.42999982833862305,optimal
5,2020-01-07T00:00:00.0,ND-001,116.85394147585889,119.79,288.3,271.2037658691406,143.1170196533203,0.42999982833862305,optimal
5,2020-01-08T00:00:00.0,ND-001,130.10401960173337,120.07,259.5,272.013671875,143.77394104003906,0.42999982833862305,optimal
5,2020-01-09T00:00:00.0,ND-001,144.25,119.25,286.4,286.38323974609375,144.13172912597656,0.42999982833862305,optimal
5,2020-01-10T00:00:00.0,ND-001,94.81,119.81,272.0,252.3734893798828,140.67803955078125,0.42999982833862305,optimal
5,2020-01-11T00:00:00.0,ND-001,147.31,122.31,263.9,275.2335205078125,143.96229553222656,0.42999982833862305,optimal
5,2020-01-12T00:00:00.0,ND-001,133.57676839207988,118.94,256.6,268.8642272949219,143.84201049804688,0.42999982833862305,optimal
6,2020-01-06T00:00:00.0,ND-001,141.0989194377701,118.84,273.8,265.1504821777344,144.56446838378906,0.43000006675720215,optimal
6,2020-01-07T00:00:00.0,ND-001,115.22215846577612,119.79,288.3,270.3766174316406,142.98028564453125,0.43000006675720215,optimal
